"";"COD6D";"benf_plano_media";"benf_plano_mediana"
"358";"350620";120,25;120,5
"359";"421575";25,25;25,5
"360";"521600";52;52
"361";"521305";26,5;28
"362";"410340";139,5;144,5
"363";"250937";7,75;8
"364";"312640";113,25;113,5
"365";"317030";29;28,5
"366";"350060";1355,75;1356,5
"367";"353215";172;169
"368";"351650";267,25;271,5
"369";"310130";158,25;154
"370";"431532";20;20
"371";"352790";96,5;96
"372";"431845";14,5;13,5
"373";"432146";163,5;165
"374";"355365";538,75;538,5
"375";"510645";29;29
"376";"410270";95;93,5
"377";"412420";61,5;58,5
"378";"354440";106,5;89,5
"379";"430107";11,75;12
"380";"316230";76,5;76,5
"381";"420757";383,25;382
"382";"520680";101,75;100
"383";"421430";352;350
"384";"311720";31,25;31,5
"385";"431242";121;121
"386";"421165";145,5;145
"387";"431301";38;38
"388";"221095";2;2
"389";"420325";72,5;75
"390";"431455";20,75;21
"391";"421415";29,25;29,5
"392";"432370";123;124
"393";"420419";19,75;19,5
"394";"410302";36,75;36,5
"395";"421775";20;20,5
"396";"420415";204,25;203,5
"397";"171200";86,5;86,5
"398";"521690";61,5;63,5
"399";"431844";69,25;69,5
"400";"310380";320,25;321
"401";"430225";373;373,5
"402";"311620";75,25;74
"403";"314020";223,25;223
"404";"315727";53,25;53,5
"405";"411830";113,25;103
"406";"311590";156;154,5
"407";"354900";272,25;267
"408";"432377";154,5;153,5
"409";"171800";41,25;29,5
"410";"316443";68,75;72,5
"411";"352585";412,25;418,5
"412";"430783";429,25;434,5
"413";"354830";356,5;359,5
"414";"354180";54,25;54
"415";"421915";43;43
"416";"251675";9,5;10
"417";"411965";94,25;94
"418";"432032";41,75;41
"419";"522130";202,5;203,5
"420";"353000";227,5;233,5
"421";"310360";129,5;125,5
"422";"220975";17,25;16,5
"423";"522070";12,75;13
"424";"430597";68;67
"425";"430607";13;13,5
"426";"521487";68;71
"427";"411729";61,25;61,5
"428";"351610";69;68,5
"429";"354710";140,25;140
"430";"432350";98,25;98
"431";"421070";133;132,5
"432";"250840";18;18
"433";"315010";227,75;227
"434";"521015";9;9
"435";"316556";41,75;42
"436";"412135";290;288,5
"437";"420287";55,5;55,5
"438";"240375";85,5;86,5
